StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,f1,f2,f3,f4,q1,q2_1,q2_2,q2_3,q2_4,q3,q5,q6,q7,q8,q8s1,q8s2,transaction_id
2025/9/10 20:45,2025/9/10 20:48,0,100,182,1,2025/9/10 20:48,R_6OHKHKYW7uFourj,,,,,-8.0125,-72.9297,anonymous,JA,1,2,37 ,2,2,2,2,2,2,2,2,1,2,1,2,1,,71w7G1dk3s9VWRHTpnYLPt
2025/9/10 20:45,2025/9/10 20:48,0,100,165,1,2025/9/10 20:48,R_6EsGycePy38BMZt,,,,,-9.9757,-67.8134,anonymous,JA,1,1,21 ,2,2,2,3,1,1,2,1,1,2,1,2,1,,0lhZEcmh0pabSKwvSriz3d
2025/9/10 20:44,2025/9/10 20:48,0,100,229,1,2025/9/10 20:48,R_6tnRNucs8hK1C0G,,,,,-3.717,-38.5287,anonymous,JA,1,1,32 ,4,4,2,4,2,1,4,1,1,3,1,2,1,,5fDpN1r3XThzt8djhQOqiI
2025/9/10 20:44,2025/9/10 20:48,0,100,219,1,2025/9/10 20:48,R_1YmE7P4GwBm5S8N,,,,,-23.5475,-46.6361,anonymous,JA,1,2,67 ,4,4,1,1,1,1,1,1,1,4,1,3,,1,04jl2q7D1uJE2hBr9NKhqq
2025/9/10 20:44,2025/9/10 20:48,0,100,211,1,2025/9/10 20:48,R_7vCHd54ASbdJJKN,,,,,-15.7783,-47.9319,anonymous,JA,1,1,63 ,3,2,4,1,2,4,4,4,2,3,2,1,2,,5Fto059yz2DqdnSrWRx0ft
2025/9/10 20:44,2025/9/10 20:48,0,100,257,1,2025/9/10 20:48,R_7WYD4K8OaByvS0S,,,,,-23.6007,-46.9212,anonymous,JA,1,1,28 ,3,2,3,2,2,1,3,4,2,3,2,2,1,,36JQMsGl95Uf2dUpri2oh8
2025/9/10 20:45,2025/9/10 20:48,0,100,163,1,2025/9/10 20:48,R_6yNtT4sO0oZQPDz,,,,,-24.0589,-46.8456,anonymous,JA,1,1,35 ,3,2,3,5,4,4,3,4,2,4,1,2,2,,7AzwTvxlIJoj9dXvzpKkDJ
2025/9/10 20:45,2025/9/10 20:49,0,100,246,1,2025/9/10 20:49,R_3AXPqEMiAeQafHE,,,,,-8.0009,-34.8687,anonymous,JA,1,2,59 ,3,4,5,2,4,2,5,5,5,3,3,3,,4,6EXqFXutZOBCUCi6php2D5
2025/9/10 20:47,2025/9/10 20:49,0,100,131,1,2025/9/10 20:49,R_3HiyjVCgq6czA1a,,,,,-22.8896,-43.1054,anonymous,JA,1,2,40 ,4,3,3,2,1,1,1,2,2,3,2,1,2,,44Y9O7Y3IcIL1oqUKHyvpY
2025/9/10 20:45,2025/9/10 20:49,0,100,239,1,2025/9/10 20:49,R_6cMXasHhpOszSaB,,,,,-12.9637,-38.4903,anonymous,JA,1,1,50 ,2,3,5,2,3,2,3,3,2,3,2,3,,3,7HbqdMyVADppugplyfpUGV
